ID,SHOP,GENDER,AGE,M.S.,NCHILD,INCOME,S.E.G.,MAINSHOP,BUYFOOD,AMOUNT,PAYBY,REGULAR,VISITS
96,4,1,23,2,1,12564,4,1,1,54.81000137,1,1,2
97,2,0,19,1,1,11004,4,1,1,49.31000137,1,1,3
98,4,0,21,2,0,19644,3,1,1,49.18000031,2,1,2
99,1,1,63,4,3,,2,1,1,61.81999969,2,1,3
100,3,1,27,4,4,10200,5,1,1,31.13999939,1,1,2
101,5,0,22,2,1,20172,3,1,1,23.94000053,2,1,1
102,4,0,30,3,1,15012,5,1,1,27.89999962,1,1,2
103,5,1,,2,5,19344,3,1,1,61.15000153,1,1,3
104,5,0,20,1,0,18984,3,1,1,41.09999847,1,1,1
105,4,1,58,4,5,16488,4,0,1,35.13999939,1,1,1
106,2,1,54,3,2,14892,4,1,1,54.36000061,1,1,3
107,5,1,24,2,1,13476,4,0,1,15.27999973,1,1,2
108,1,0,20,2,1,16476,3,1,1,47.06000137,1,1,2
109,1,1,36,1,0,17664,4,1,1,26.70000076,1,1,1
110,3,1,24,2,2,11904,5,1,0,45.90000153,1,1,2
111,2,1,24,2,3,,3,1,1,47.81000137,2,1,3
112,3,0,34,3,1,17316,4,1,1,42.00999832,1,1,2
113,3,0,42,3,2,20136,3,0,1,21.89999962,2,1,1
114,2,0,43,1,0,16308,4,1,1,32.5,1,1,1
115,4,0,36,2,2,9576,5,1,1,36.54000092,1,1,5
116,5,1,22,2,0,18600,3,1,1,51.41999817,1,1,2
117,3,0,48,2,3,21216,3,1,1,72.13999939,3,1,2
118,4,1,17,1,0,11136,4,1,1,44.34999847,1,1,2
119,4,1,53,4,4,20352,3,1,1,67.11000061,2,1,2
120,3,0,32,2,2,25992,3,1,1,60.13999939,2,1,2
121,1,1,,4,1,17376,2,1,1,39.08000183,1,1,2
122,1,0,27,1,0,,4,0,1,41.88000107,1,1,1
123,4,0,50,2,3,15528,4,0,1,31.90999985,1,1,3
124,1,0,32,2,0,26316,2,1,0,82.91000366,2,1,2
125,2,1,36,2,2,21432,3,1,1,40.18000031,2,1,1
126,5,0,21,2,0,27036,2,1,1,73.23999786,2,1,1
127,1,0,32,1,1,14916,4,1,1,34.97999954,1,1,3
128,4,0,20,2,2,18240,3,1,1,49.95000076,1,1,4
129,3,0,41,2,3,12408,5,1,1,67.62000275,1,1,1
130,2,1,36,2,0,24084,3,0,1,40.66999817,1,1,3
131,1,1,36,2,1,26580,2,1,1,39.74000168,2,1,2
132,5,0,,1,2,18228,3,1,1,47.58000183,1,1,1
133,5,0,20,2,3,10644,4,1,1,57.70999908,1,1,2
134,4,1,48,2,5,22896,3,0,1,19.21999931,1,1,3
135,1,1,41,2,5,13236,4,1,1,71.87999725,1,1,2
136,4,0,29,2,0,20832,2,1,1,63.90000153,2,1,1
137,1,0,47,2,1,18048,3,1,1,54.88999939,1,1,3
138,5,0,33,2,2,12960,4,1,1,59.86000061,1,1,2
139,3,0,27,3,4,,3,0,1,44.99000168,2,1,2
140,2,0,38,2,4,33816,2,1,1,72.41000366,2,1,5
141,4,1,34,1,0,12324,5,1,1,20.85000038,1,0,0
142,3,0,,2,2,14676,3,1,1,57.18999863,2,1,3
143,4,0,34,3,1,22500,3,1,1,54.13999939,2,1,5
144,4,1,32,1,0,12588,4,1,1,44.65000153,1,1,3
145,5,1,17,1,0,14172,5,0,0,37.18000031,1,1,2
146,3,0,40,2,3,12516,5,1,1,68.88999939,1,1,1
147,3,0,26,2,3,14256,4,1,1,58.68000031,1,1,2
148,5,0,32,1,0,11868,4,1,1,44.11999893,1,1,2
149,1,0,26,3,4,21636,3,0,1,32.24000168,2,1,2
150,5,0,21,2,1,17280,3,1,1,74.86000061,1,0,0
151,1,1,32,2,0,30996,2,1,1,57.58000183,2,0,0
152,4,1,65,2,3,15096,4,1,1,39.18000031,1,1,2
153,3,1,,1,0,16596,4,1,1,46.29999924,1,1,3
154,3,0,28,1,0,,4,1,1,34.5,1,1,3
155,5,0,27,2,4,25356,3,0,1,21.18000031,2,1,1
156,3,0,41,3,2,14916,4,1,1,29.69000053,1,1,2
157,2,0,25,2,2,25236,2,1,1,70,2,1,2
158,4,0,17,1,0,10416,4,1,1,25.01000023,1,1,2
159,4,0,35,2,3,18360,3,0,1,42.63000107,1,1,1
160,3,1,23,2,1,18888,3,1,1,53.04000092,2,1,2
161,5,1,24,2,2,13704,4,1,1,61.06000137,1,1,1
162,5,0,35,2,4,18552,3,1,1,95.37999725,1,1,1
163,3,0,25,2,0,22632,3,0,1,51.88999939,2,1,4
164,4,0,27,2,3,16500,3,1,1,39.70999908,1,1,2
165,1,1,20,2,1,10824,4,0,0,32.77999878,1,1,3
166,4,0,38,3,2,16596,4,0,1,57.36999893,1,1,3
167,4,0,19,2,2,15204,4,1,1,73.05999756,1,1,2
168,5,0,25,3,0,,5,0,1,37.84999847,1,1,2
169,2,0,22,2,1,10464,5,0,1,54.75,1,1,1
170,4,0,42,3,4,13812,5,1,1,74.76000214,3,1,2
171,3,0,31,2,3,17688,4,0,1,43.13999939,1,1,3
172,2,0,29,2,1,11676,5,1,1,68.83999634,1,0,0
173,2,0,32,2,2,11448,3,1,1,66.25,1,1,3
174,3,1,29,2,2,15864,4,0,1,31.28000069,1,1,2
175,1,0,44,2,2,12288,5,1,1,45.13999939,1,1,1
176,2,1,,2,2,21684,3,1,1,39.45999908,2,1,2
177,3,0,34,2,2,21696,3,1,1,47.74000168,2,1,3
178,4,0,32,2,2,15852,4,1,1,81.61000061,1,1,2
179,3,1,47,1,0,33480,2,1,1,50.36999893,2,1,2
180,3,0,35,1,0,20064,3,0,1,11.81000042,2,1,3
181,4,0,25,1,2,,4,1,1,54.65999985,1,1,3
182,3,0,32,3,1,16476,4,0,1,42.04999924,1,1,1
183,2,0,44,2,0,25764,3,1,1,59.84999847,1,1,2
184,2,0,17,1,0,11376,4,0,1,24.69000053,1,1,3
185,2,0,20,2,2,9828,5,1,1,36.84999847,1,1,2
186,2,0,19,2,2,6972,5,1,1,44.29999924,1,1,1
187,2,0,20,2,2,11520,3,1,1,61.59000015,1,0,0
188,4,1,19,1,0,14952,4,0,1,11.25,1,1,1
189,1,0,30,1,1,16464,4,0,1,27.92000008,1,1,3
190,4,0,35,1,2,10008,4,1,1,67.77999878,1,1,2
191,4,1,27,3,4,6288,5,1,0,36.11999893,1,0,0
192,5,1,18,1,0,12156,4,1,1,31.88999939,1,1,2
193,2,1,61,2,2,31380,2,0,1,26.70000076,2,1,2
194,4,0,22,1,0,12780,4,1,1,33.33000183,1,1,3
195,4,0,29,2,4,,4,1,1,71.63999939,3,1,1
196,3,0,38,3,1,15360,4,0,1,41.83000183,1,1,1
197,2,0,45,3,1,15768,4,1,1,68.62999725,1,1,2
198,2,0,15,1,0,8796,5,1,1,22.37999916,1,1,2
199,3,0,39,2,4,16608,4,1,1,54.09999847,1,1,2
