ID,SHOP,GENDER,AGE,M.S.,NCHILD,INCOME,S.E.G.,MAINSHOP,BUYFOOD,AMOUNT,PAYBY,REGULAR,VISITS
414,5,0,26,2,4,12552,4,1,1,81.33999634,3,1,3
415,2,0,22,2,1,17544,4,1,1,55.34999847,1,0,0
416,4,0,23,2,0,19092,3,1,1,63.77000046,1,1,5
417,3,1,25,2,3,12444,4,1,1,65.76000214,1,1,1
418,4,1,18,2,0,,3,1,1,47.02000046,2,1,2
419,4,1,,1,0,14988,4,1,1,29.84000015,1,1,2
420,4,0,43,2,4,12348,4,1,1,57.31000137,1,0,0
421,4,1,43,4,1,25836,3,0,1,40.86999893,2,0,0
422,4,1,48,2,4,14988,5,1,1,40.93999863,1,1,1
423,1,1,26,3,5,17976,3,1,1,55.09999847,2,1,2
424,5,0,35,2,4,20124,3,1,1,53.77999878,2,1,2
425,3,1,,2,0,23124,3,1,1,64.86000061,2,1,3
426,2,1,19,1,0,13776,3,0,0,20.87999916,1,1,2
427,2,0,27,1,0,11292,5,0,1,3.609999895,1,1,5
428,5,0,72,2,2,8928,4,0,1,32.81999969,1,1,2
429,4,1,36,1,0,17556,3,1,1,40.36999893,2,1,1
430,3,0,52,2,1,17724,4,1,1,77.43000031,1,1,1
431,5,0,27,2,2,10740,4,1,1,54.63000107,1,1,1
